LOC119724510	T-box protein 1
LOC119724612	lipoyltransferase 1, mitochondrial-like
LOC119724613	cytochrome P450 2J6-like
LOC119724614	cytochrome P450 2J6-like
LOC119724615	cytochrome P450 2J6-like
LOC119724616	muscarinic acetylcholine receptor M3-like
LOC119724618	G-protein coupled receptor GRL101-like
LOC119724619	uncharacterized LOC119724619
LOC119724620	uncharacterized LOC119724620
LOC119724621	mediator of RNA polymerase II transcription subunit 18-like
LOC119724622	cell wall protein IFF6-like
LOC119724623	protein archease-like
LOC119724624	dual specificity protein kinase CLK2-like
LOC119724626	39S ribosomal protein L53, mitochondrial-like
LOC119724627	enoyl-CoA hydratase domain-containing protein 3, mitochondrial-like
LOC119724628	cingulin-like
LOC119724629	vacuolar protein sorting-associated protein 11 homolog
LOC119724630	exostosin-like 3
LOC119724631	uncharacterized LOC119724631
LOC119724632	transmembrane and coiled-coil domains protein 2-like
LOC119724633	ras-related GTP-binding protein C-like
LOC119724634	twitchin-like
LOC119724635	calmodulin-regulated spectrin-associated protein 2-like
LOC119724636	actin-binding Rho-activating protein-like
LOC119724637	stromal cell-derived factor 2-like
LOC119724638	regulating synaptic membrane exocytosis protein 2-like
LOC119724639	DDB1- and CUL4-associated factor 13-like
LOC119724640	KICSTOR complex protein C12orf66-like
LOC119724641	nucleolar transcription factor 1-like
LOC119724642	glutathione hydrolase 3-like
LOC119724643	protein C12orf4 homolog
LOC119724644	uncharacterized LOC119724644
LOC119724646	probable E3 ubiquitin-protein ligase RNF217
LOC119724647	kelch-like protein 17
LOC119724648	aspartyl/asparaginyl beta-hydroxylase-like
LOC119724650	uncharacterized LOC119724650
LOC119724652	SH3 domain-binding protein 5-like
LOC119724653	probable enoyl-CoA hydratase
LOC119724654	T-complex protein 1 subunit alpha-like
LOC119724655	serotonin N-acetyltransferase-like
LOC119724656	uncharacterized LOC119724656
LOC119724657	serotonin N-acetyltransferase-like
LOC119724658	cathepsin B-like
LOC119724659	dual specificity tyrosine-phosphorylation-regulated kinase 4-like
LOC119724660	uncharacterized LOC119724660
LOC119724661	ras-related protein O-RAL-like
LOC119724662	glutamate--cysteine ligase catalytic subunit-like
LOC119724663	glutamate--cysteine ligase catalytic subunit-like
LOC119724664	potassium voltage-gated channel subfamily KQT member 3-like
LOC119724665	potassium voltage-gated channel subfamily KQT member 4-like
LOC119724666	uncharacterized LOC119724666
LOC119724667	ATPase inhibitor, mitochondrial-like
LOC119724668	uncharacterized LOC119724668
LOC119724669	hairy/enhancer-of-split related with YRPW motif protein 1-like
LOC119724670	28S ribosomal protein S28, mitochondrial-like
LOC119724671	5'-deoxynucleotidase HDDC2-like
LOC119724672	sodium/glucose cotransporter 5-like
LOC119724673	sodium/myo-inositol cotransporter-like
LOC119724675	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like
LOC119724676	autophagy-related protein 13-like
LOC119724679	uncharacterized LOC119724679
LOC119724680	heparan sulfate glucosamine 3-O-sulfotransferase 1-like
LOC119724681	heparan sulfate glucosamine 3-O-sulfotransferase 1-like
LOC119724682	heparan sulfate glucosamine 3-O-sulfotransferase 1-like
LOC119724683	uncharacterized LOC119724683
LOC119724684	alpha-tocopherol transfer protein-like
LOC119724685	uncharacterized LOC119724685
LOC119724686	heterogeneous nuclear ribonucleoprotein A3 homolog 2-like
LOC119724687	uncharacterized LOC119724687
LOC119724688	heterogeneous nuclear ribonucleoprotein A3 homolog 1-like
LOC119724689	heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog
LOC119724690	heterogeneous nuclear ribonucleoprotein A3 homolog 2-like
LOC119724691	heterogeneous nuclear ribonucleoprotein A3-like
LOC119724692	uncharacterized LOC119724692
LOC119724693	serine/threonine-protein kinase Nek6-like
LOC119724694	prolyl endopeptidase-like
LOC119724695	transmembrane protein 18-like
LOC119724696	adhesion G-protein coupled receptor G6-like
LOC119724697	uncharacterized LOC119724697
LOC119724698	low-density lipoprotein receptor-related protein 4-like
LOC119724699	adhesion G-protein coupled receptor G6-like
LOC119724700	thymidylate synthase-like
LOC119724701	splicing factor 3B subunit 6-like
LOC119724702	peroxisomal acyl-coenzyme A oxidase 1-like
LOC119724703	tumor protein D54-like
LOC119724704	uncharacterized LOC119724704
LOC119724705	deleted in malignant brain tumors 1 protein-like
LOC119724706	uncharacterized LOC119724706
LOC119724707	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119724708	E3 ubiquitin-protein ligase TRIM56-like
LOC119724709	tripartite motif-containing protein 2-like
LOC119724710	E3 ubiquitin-protein ligase TRIM56-like
LOC119724711	protein unc-45 homolog B-like
LOC119724712	tubulin-specific chaperone cofactor E-like protein
LOC119724713	melatonin receptor type 1B-like
LOC119724714	U11/U12 small nuclear ribonucleoprotein 25 kDa protein-like
LOC119724715	40S ribosomal protein S16
LOC119724716	DNA-directed RNA polymerase III subunit RPC10-like
LOC119724717	zinc transporter 2-like
LOC119724718	nicotinate phosphoribosyltransferase-like
LOC119724719	E3 ubiquitin-protein ligase UBR5-like
LOC119724720	protein REDUCED WALL ACETYLATION 2-like
LOC119724721	E3 ubiquitin-protein ligase TRIM56-like
LOC119724722	testicular haploid expressed gene protein-like
LOC119724723	NEDD8-conjugating enzyme Ubc12-like
LOC119724724	2-aminomuconic semialdehyde dehydrogenase-like
LOC119724725	uncharacterized LOC119724725
LOC119724726	sodium-coupled monocarboxylate transporter 1-like
LOC119724727	uncharacterized LOC119724727
LOC119724728	uncharacterized LOC119724728
LOC119724729	uncharacterized LOC119724729
LOC119724730	deleted in malignant brain tumors 1 protein-like
LOC119724731	phosphatidylserine synthase 2-like
LOC119724732	G-protein coupled receptor Mth-like
LOC119724733	uncharacterized LOC119724733
LOC119724734	retinol dehydrogenase 8-like
LOC119724735	retinol dehydrogenase 8-like
LOC119724736	neuromedin-B receptor-like
LOC119724737	uncharacterized LOC119724737
LOC119724738	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119724739	uncharacterized LOC119724739
LOC119724740	solute carrier family 35 member F4-like
LOC119724741	uncharacterized LOC119724741
LOC119724742	PR domain zinc finger protein 14-like
LOC119724743	serrate RNA effector molecule homolog
LOC119724744	F-box/WD repeat-containing protein 2-like
LOC119724745	ribose-phosphate pyrophosphokinase 4-like
LOC119724746	protein Mpv17-like
LOC119724747	solute carrier family 2, facilitated glucose transporter member 8-like
LOC119724748	solute carrier family 2, facilitated glucose transporter member 8-like
LOC119724750	WD repeat domain phosphoinositide-interacting protein 4-like
LOC119724751	uncharacterized LOC119724751
LOC119724752	carbohydrate sulfotransferase 11-like
LOC119724753	carbohydrate sulfotransferase 11-like
LOC119724754	28S ribosomal protein S14, mitochondrial-like
LOC119724755	lipid droplet-associated hydrolase-like
LOC119724756	ubiquinol-cytochrome-c reductase complex assembly factor 1-like
LOC119724757	uncharacterized LOC119724757
LOC119724758	uncharacterized LOC119724758
LOC119724759	thioredoxin domain-containing protein 5-like
LOC119724760	uncharacterized LOC119724760
LOC119724762	leucine-rich repeat-containing protein 51-like
LOC119724763	reticulon-4-interacting protein 1, mitochondrial-like
LOC119724764	adenylate cyclase type 3-like
LOC119724765	uncharacterized LOC119724765
LOC119724766	epoxide hydrolase 1-like
LOC119724767	epoxide hydrolase 1-like
LOC119724768	epoxide hydrolase 1-like
LOC119724769	protein adenylyltransferase SelO-like
LOC119724770	sodium-coupled monocarboxylate transporter 1-like
LOC119724771	uncharacterized LOC119724771
LOC119724772	protein ILRUN-like
LOC119724773	solute carrier organic anion transporter family member 4A1-like
LOC119724774	lysine-specific histone demethylase 1B-like
LOC119724775	oocyte zinc finger protein XlCOF6-like
LOC119724776	solute carrier organic anion transporter family member 5A1-like
LOC119724777	uncharacterized LOC119724777
LOC119724778	trypsin-like
LOC119724779	uncharacterized LOC119724779
LOC119724780	uncharacterized LOC119724780
LOC119724781	uncharacterized LOC119724781
LOC119724782	bifunctional peptidase and arginyl-hydroxylase JMJD5-like
LOC119724783	solute carrier organic anion transporter family member 4A1-like
LOC119724784	vacuolar protein sorting-associated protein 13B-like
LOC119724785	transcription factor E2F3-like
LOC119724786	trace amine-associated receptor 13c-like
LOC119724787	histamine N-methyltransferase A-like
LOC119724788	integrator complex subunit 9-like
LOC119724789	uncharacterized LOC119724789
LOC119724790	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like
LOC119724791	tRNA-splicing endonuclease subunit Sen34-like
LOC119724792	retinoschisin-like
LOC119724793	F-box only protein 43-like
LOC119724794	clathrin light chain B-like
LOC119724795	uncharacterized LOC119724795
LOC119724796	hyalin-like
LOC119724797	structural maintenance of chromosomes flexible hinge domain-containing protein 1-like
LOC119724798	uncharacterized LOC119724798
LOC119724799	uncharacterized LOC119724799
LOC119724801	membrane-spanning 4-domains subfamily A member 8-like
LOC119724802	uncharacterized LOC119724802
LOC119724803	uncharacterized LOC119724803
LOC119724805	uncharacterized LOC119724805
LOC119724806	thioredoxin domain-containing protein plp1-like
LOC119724807	sushi, nidogen and EGF-like domain-containing protein 1
LOC119724808	uncharacterized LOC119724808
LOC119724809	uncharacterized LOC119724809
LOC119724810	uncharacterized protein C8orf34 homolog
LOC119724811	arylsulfatase I-like
LOC119724812	adenosine deaminase-like
LOC119724813	adenosine deaminase-like
LOC119724814	tyrosyl-DNA phosphodiesterase 2-like
LOC119724815	histone H3-like
LOC119724816	uncharacterized LOC119724816
LOC119724817	transmembrane protein 241-like
LOC119724819	sorting and assembly machinery component 50 homolog B-like
LOC119724820	uncharacterized LOC119724820
LOC119724821	sphingomyelin phosphodiesterase-like
LOC119724822	ceramide glucosyltransferase-like
LOC119724823	U5 small nuclear ribonucleoprotein 40 kDa protein-like
LOC119724824	uncharacterized LOC119724824
LOC119724825	replication factor C subunit 1-like
LOC119724826	exonuclease 3'-5' domain-containing protein 2-like
LOC119724827	uncharacterized LOC119724827
LOC119724828	zinc finger protein OZF-like
LOC119724829	hsp70-binding protein 1-like
LOC119724830	zinc finger protein 227-like
LOC119724831	uncharacterized LOC119724831
LOC119724832	chitinase domain-containing protein 1-like
LOC119724833	26S proteasome non-ATPase regulatory subunit 14
LOC119724835	small subunit processome component 20 homolog
LOC119724836	extracellular sulfatase Sulf-1-like
LOC119724837	prostaglandin reductase-3-like
LOC119724838	protein PHTF2-like
LOC119724839	transmembrane protein 60-like
LOC119724840	quinone reductase-like
LOC119724841	uncharacterized LOC119724841
LOC119724842	insulin receptor substrate 1-like
LOC119724844	fulicin peptides-like
LOC119724845	solute carrier organic anion transporter family member 5A1-like
LOC119724846	uncharacterized LOC119724846
LOC119724847	uncharacterized LOC119724847
LOC119724848	uncharacterized LOC119724848
LOC119724849	uncharacterized LOC119724849
LOC119724850	zinc finger protein 567-like
LOC119724851	G-protein coupled receptor moody-like
LOC119724852	glutaminase liver isoform, mitochondrial-like
LOC119724853	pyrroline-5-carboxylate reductase 1, mitochondrial-like
LOC119724854	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1-like
LOC119724855	MFS-type transporter SLC18B1-like
LOC119724856	A disintegrin and metalloproteinase with thrombospondin motifs 6-like
LOC119724858	MFS-type transporter SLC18B1-like
LOC119724859	MFS-type transporter SLC18B1-like
LOC119724860	programmed cell death protein 6-like
LOC119724861	cathepsin B-like
LOC119724862	transcription termination factor 3, mitochondrial-like
LOC119724863	phosphatidylserine synthase 1-like
LOC119724864	cathepsin B-like
LOC119724865	EF-hand domain-containing protein 1-like
LOC119724866	neurogenic protein mastermind-like
LOC119724867	uncharacterized LOC119724867
LOC119724868	60S ribosomal export protein NMD3-like
LOC119724869	MICOS complex subunit MIC27-like
LOC119724870	ADAM 17-like protease
LOC119724871	protein cereblon-like
LOC119724872	C-type lectin domain family 4 member E-like
LOC119724873	C-type lectin domain family 6 member A-like
LOC119724874	ATP-dependent RNA helicase DDX54-like
LOC119724875	beta-3 adrenergic receptor-like
LOC119724876	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-like
LOC119724877	NFX1-type zinc finger-containing protein 1-like
LOC119724878	mucin-2-like
LOC119724879	protein argonaute-2-like
LOC119724880	sperm-associated antigen 1-like
LOC119724881	zinc finger protein 706-like
LOC119724882	myosin-IIIb-like
LOC119724883	RCC1-like G exchanging factor-like protein
LOC119724884	transmembrane protein 53-like
LOC119724885	zinc finger protein 706-like
LOC119724886	exosome complex component MTR3-like
LOC119724887	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119724888	uncharacterized LOC119724888
LOC119724889	uncharacterized LOC119724889
LOC119724890	transmembrane protein 53-like
LOC119724891	uncharacterized LOC119724891
LOC119724892	uncharacterized LOC119724892
LOC119724893	ubiquinol-cytochrome-c reductase complex assembly factor 2-like
LOC119724894	protein disulfide-isomerase A6 homolog
LOC119724895	biogenesis of lysosome-related organelles complex 1 subunit 5-like
LOC119724897	uncharacterized LOC119724897
LOC119724898	sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3-like
LOC119724899	clavesin-2-like
LOC119724900	uncharacterized LOC119724900
LOC119724901	male-enhanced antigen 1-like
LOC119724902	uncharacterized LOC119724902
LOC119724903	phosphatidylinositol 4-kinase beta-like
LOC119724904	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like
LOC119724905	schlafen-like protein 1
LOC119724906	uncharacterized LOC119724906
LOC119724907	uncharacterized LOC119724907
LOC119724908	cathepsin B-like
LOC119724909	branched-chain-amino-acid aminotransferase-like protein 1
LOC119724910	squalene synthase-like
LOC119724912	protein FAM167B-like
LOC119724913	uncharacterized LOC119724913
LOC119724914	coiled-coil domain-containing protein 43-like
LOC119724915	protein kinase C-binding protein 1-like
LOC119724916	translocating chain-associated membrane protein 1-like
LOC119724917	uncharacterized LOC119724917
LOC119724918	leucine-rich repeat-containing protein 56-like
LOC119724919	smoothened homolog
LOC119724920	WD repeat-containing protein 48-like
LOC119724921	bombesin receptor subtype-3-like
LOC119724922	carbohydrate sulfotransferase 11-like
LOC119724923	tRNA-splicing endonuclease subunit Sen2-like
LOC119724924	uncharacterized LOC119724924
LOC119724925	hyalin-like
LOC119724926	uncharacterized LOC119724926
LOC119724927	elongator complex protein 6-like
LOC119724928	uncharacterized LOC119724928
LOC119724929	cAMP-responsive element-binding protein-like 2
LOC119724931	adenylyl cyclase-associated protein 1-like
LOC119724932	RNA-binding protein 38-like
LOC119724933	transmembrane 9 superfamily member 1-like
LOC119724934	elongin-A-like
LOC119724935	trafficking protein particle complex subunit 9-like
LOC119724936	pyrroline-5-carboxylate reductase-like
LOC119724937	protein lin-7 homolog C-like
LOC119724938	chromatin accessibility complex protein 1-like
LOC119724939	uncharacterized LOC119724939
LOC119724940	60S ribosomal protein L19-like
LOC119724941	F-box only protein 9-like
LOC119724942	coiled-coil domain-containing protein 127-like
LOC119724943	coiled-coil domain-containing protein 127-like
LOC119724944	coiled-coil domain-containing protein 127-like
LOC119724945	BAG family molecular chaperone regulator 3-like
LOC119724946	TNF receptor-associated factor 6-like
LOC119724947	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like
LOC119724948	uncharacterized LOC119724948
LOC119724949	glucosidase 2 subunit beta-like
LOC119724950	E3 ubiquitin-protein ligase RNF19A-like
LOC119724951	dynein regulatory complex protein 1-like
LOC119724952	60S ribosomal protein L11
LOC119724953	microfibril-associated glycoprotein 4-like
LOC119724954	proton channel OtopLc-like
LOC119724955	E3 ubiquitin-protein ligase TRIM71-like
LOC119724956	tripartite motif-containing protein 2-like
LOC119724957	uncharacterized LOC119724957
LOC119724958	uncharacterized LOC119724958
LOC119724959	methyltransferase N6AMT1-like
LOC119724960	cathepsin B-like
LOC119724961	solute carrier organic anion transporter family member 4A1-like
LOC119724962	serine/threonine-protein kinase RIO3-like
LOC119724963	solute carrier organic anion transporter family member 4A1-like
LOC119724964	doublecortin domain-containing protein 2-like
LOC119724965	uncharacterized LOC119724965
LOC119724966	serine/arginine-rich splicing factor 4-like
LOC119724967	serine/arginine repetitive matrix protein 2-like
LOC119724968	myotubularin-related protein 9-like
LOC119724969	uncharacterized LOC119724969
LOC119724970	uncharacterized LOC119724970
LOC119724971	MFS-type transporter SLC18B1-like
LOC119724972	neuromedin-U receptor 2-like
LOC119724973	IgGFc-binding protein-like
LOC119724974	pre-mRNA-processing factor 6-like
LOC119724975	low-density lipoprotein receptor-related protein 4-like
LOC119724976	paramyosin-like
LOC119724977	uncharacterized LOC119724977
LOC119724978	O-acyltransferase like protein-like
LOC119724979	serine/arginine repetitive matrix protein 2-like
LOC119724980	bcl-2-associated transcription factor 1-like
LOC119724981	uncharacterized LOC119724981
LOC119724982	myotubularin-related protein 9-like
LOC119724983	zinc finger C2HC domain-containing protein 1A-like
LOC119724984	MFS-type transporter SLC18B1-like
LOC119724985	neuromedin-U receptor 2-like
LOC119724986	IgGFc-binding protein-like
LOC119724987	pre-mRNA-processing factor 6-like
LOC119724988	UHRF1-binding protein 1-like
LOC119724989	uncharacterized LOC119724989
LOC119724992	O-acyltransferase like protein-like
LOC119724993	uncharacterized LOC119724993
LOC119724994	annexin A6-like
LOC119724995	annexin-B12-like
LOC119724996	annexin-B12-like
LOC119724997	CUB and sushi domain-containing protein 3-like
LOC119724998	uncharacterized LOC119724998
LOC119724999	CUB and sushi domain-containing protein 2-like
LOC119725000	uncharacterized LOC119725000
LOC119725001	G-protein coupled receptor GRL101-like
LOC119725002	tolloid-like protein 1
LOC119725003	low-density lipoprotein receptor-related protein 12-like
LOC119725004	G-protein coupled receptor GRL101-like
LOC119725005	uncharacterized LOC119725005
LOC119725006	ras association domain-containing protein 8-like
LOC119725007	CUB and sushi domain-containing protein 1-like
LOC119725008	little elongation complex subunit 1-like
LOC119725009	tolloid-like protein 2
LOC119725010	CUB and sushi domain-containing protein 1-like
LOC119725011	relaxin receptor 2-like
LOC119725012	CUB and sushi domain-containing protein 3-like
LOC119725013	galactose-3-O-sulfotransferase 2-like
LOC119725014	organic cation transporter protein-like
LOC119725015	uncharacterized LOC119725015
LOC119725016	laccase-like
LOC119725017	gamma-butyrobetaine dioxygenase-like
LOC119725018	neurogenic locus notch homolog protein 2-like
LOC119725019	uncharacterized LOC119725019
LOC119725020	uncharacterized LOC119725020
LOC119725021	BTB/POZ domain-containing protein KCTD19-like
LOC119725022	uncharacterized LOC119725022
LOC119725023	uncharacterized LOC119725023
LOC119725024	uncharacterized LOC119725024
LOC119725025	BTB/POZ domain-containing protein KCTD6-like
LOC119725026	BTB/POZ domain-containing protein KCTD6-like
LOC119725027	BTB/POZ domain-containing protein KCTD6-like
LOC119725028	BTB/POZ domain-containing protein KCTD21-like
LOC119725029	BTB/POZ domain-containing protein KCTD6-like
LOC119725030	BTB/POZ domain-containing protein KCTD19-like
LOC119725031	BTB/POZ domain-containing protein kctd15-like
LOC119725032	carbonic anhydrase 3-like
LOC119725033	uncharacterized LOC119725033
LOC119725034	gamma-butyrobetaine dioxygenase-like
LOC119725035	G-protein coupled receptor GRL101-like
LOC119725036	G-protein coupled receptor GRL101-like
LOC119725037	uncharacterized LOC119725037
LOC119725038	apelin receptor-like
LOC119725039	uncharacterized LOC119725039
LOC119725040	tectonin beta-propeller repeat-containing protein 2-like
LOC119725041	vesicular acetylcholine transporter-like
LOC119725042	uncharacterized LOC119725042
LOC119725043	gamma-butyrobetaine dioxygenase-like
LOC119725045	leucine-rich repeat extensin-like protein 5
LOC119725046	somatostatin receptor type 5-like
LOC119725047	uncharacterized LOC119725047
LOC119725048	sulfotransferase 2B1-like
LOC119725049	neuromedin-U receptor 2-like
LOC119725050	uncharacterized LOC119725050
LOC119725051	ficolin-1-like
LOC119725052	gamma-butyrobetaine dioxygenase-like
LOC119725053	neuromedin-U receptor 2-like
LOC119725054	neuromedin-U receptor 2-like
LOC119725056	latrophilin-like protein LAT-2
LOC119725058	uncharacterized LOC119725058
LOC119725059	neuromedin-U receptor 2-like
LOC119725060	cathepsin B-like cysteine proteinase 3
LOC119725061	neuromedin-U receptor 2-like
LOC119725062	serine/arginine-rich splicing factor 7-like
LOC119725063	neuromedin-U receptor 2-like
LOC119725064	uncharacterized LOC119725064
LOC119725065	muscarinic acetylcholine receptor M5-like
LOC119725067	neuromedin-U receptor 2-like
LOC119725068	muscarinic acetylcholine receptor M5-like
LOC119725070	neuromedin-U receptor 2-like
LOC119725071	neuromedin-U receptor 2-like
LOC119725072	ficolin-3-like
LOC119725073	lactadherin-like
LOC119725074	uncharacterized LOC119725074
LOC119725076	ficolin-3-like
LOC119725077	lactadherin-like
LOC119725078	uncharacterized LOC119725078
LOC119725079	juvenile hormone acid O-methyltransferase-like
LOC119725080	juvenile hormone acid O-methyltransferase-like
LOC119725081	ficolin-1-like
LOC119725082	ficolin-3-like
LOC119725083	uncharacterized LOC119725083
LOC119725084	uncharacterized LOC119725084
LOC119725085	uncharacterized LOC119725085
LOC119725086	serine/arginine-rich splicing factor 7-like
LOC119725087	slit homolog 2 protein-like
LOC119725088	cell number regulator 4-like
LOC119725089	putative protein TPRXL
LOC119725090	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119725091	uncharacterized LOC119725091
LOC119725092	tyrosine-protein kinase receptor Tie-1-like
LOC119725093	deleted in malignant brain tumors 1 protein-like
LOC119725094	tripartite motif-containing protein 3-like
LOC119725095	E3 ubiquitin-protein ligase TRIM56-like
LOC119725096	tripartite motif-containing protein 2-like
LOC119725097	E3 ubiquitin-protein ligase TRIM32-like
LOC119725098	E3 ubiquitin-protein ligase TRIM71-like
LOC119725099	tripartite motif-containing protein 3-like
LOC119725100	E3 ubiquitin-protein ligase TRIM56-like
LOC119725101	deleted in malignant brain tumors 1 protein-like
LOC119725102	deleted in malignant brain tumors 1 protein-like
LOC119725103	fibropellin-1-like
LOC119725104	uncharacterized LOC119725104
LOC119725105	soluble guanylate cyclase 88E-like
LOC119725106	adhesion G-protein coupled receptor G6-like
LOC119725107	monocarboxylate transporter 12-B-like
LOC119725108	uncharacterized LOC119725108
LOC119725109	uncharacterized LOC119725109
LOC119725110	monocarboxylate transporter 12-like
LOC119725111	monocarboxylate transporter 12-B-like
LOC119725112	hyalin-like
LOC119725114	tetraspanin-11-like
LOC119725115	deleted in malignant brain tumors 1 protein-like
LOC119725116	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like
LOC119725117	deleted in malignant brain tumors 1 protein-like
LOC119725118	deleted in malignant brain tumors 1 protein-like
LOC119725119	uncharacterized LOC119725119
LOC119725120	transcriptional regulatory protein AlgP-like
LOC119725121	macrophage mannose receptor 1-like
LOC119725122	macrophage mannose receptor 1-like
LOC119725123	alpha-N-acetylgalactosamine-specific lectin-like
LOC119725124	glycine receptor subunit alphaZ1-like
LOC119725125	CD151 antigen-like
LOC119725126	uncharacterized LOC119725126
LOC119725127	gamma-tubulin complex component 5-like
LOC119725128	uncharacterized LOC119725128
LOC119725129	uncharacterized LOC119725129
LOC119725130	neuromedin-B receptor-like
LOC119725131	twitchin-like
LOC119725132	uncharacterized LOC119725132
LOC119725134	uncharacterized LOC119725134
LOC119725135	BTB/POZ domain-containing protein KCTD21-like
LOC119725136	galanin receptor 2b-like
LOC119725137	galanin receptor 2b-like
LOC119725138	melatonin receptor type 1B-B-like
LOC119725139	tripartite motif-containing protein 2-like
LOC119725140	lactadherin-like
LOC119725141	microfibril-associated glycoprotein 4-like
LOC119725143	CD63 antigen-like
LOC119725144	collagen alpha-1(X) chain-like
LOC119725145	tripartite motif-containing protein 45-like
LOC119725147	tripartite motif-containing protein 2-like
LOC119725148	solute carrier organic anion transporter family member 5A1-like
LOC119725149	solute carrier organic anion transporter family member 3A1-like
LOC119725150	E3 ubiquitin-protein ligase TRIM71-like
LOC119725151	cytadherence high molecular weight protein 2-like
LOC119725152	fibropellin-3-like
LOC119725153	deleted in malignant brain tumors 1 protein-like
LOC119725154	uncharacterized LOC119725154
LOC119725155	uncharacterized LOC119725155
LOC119725156	gamma-aminobutyric acid type B receptor subunit 1-like
LOC119725157	tripartite motif-containing protein 2-like
LOC119725158	uncharacterized LOC119725158
LOC119725159	tripartite motif-containing protein 3-like
LOC119725160	thyrotropin-releasing hormone receptor-like
LOC119725161	protein arginine N-methyltransferase 1-like
LOC119725162	thyrotropin-releasing hormone receptor-like
LOC119725163	thyrotropin-releasing hormone receptor-like
LOC119725165	5-hydroxytryptamine receptor 1B-like
LOC119725166	zinc finger protein 729-like
LOC119725167	trace amine-associated receptor 3-like
LOC119725168	trace amine-associated receptor 9-like
LOC119725169	uncharacterized LOC119725169
LOC119725170	uncharacterized LOC119725170
LOC119725171	uncharacterized LOC119725171
LOC119725172	programmed cell death protein 2-like
LOC119725173	uncharacterized LOC119725173
LOC119725174	uncharacterized LOC119725174
LOC119725175	uncharacterized LOC119725175
LOC119725176	adenosine receptor A2a-like
LOC119725177	uncharacterized LOC119725177
LOC119725178	CD151 antigen-like
LOC119725179	uncharacterized LOC119725179
LOC119725180	uncharacterized LOC119725180
LOC119725181	uncharacterized LOC119725181
LOC119725182	uncharacterized LOC119725182
LOC119725183	uncharacterized LOC119725183
LOC119725184	uncharacterized LOC119725184
LOC119725185	NFX1-type zinc finger-containing protein 1-like
LOC119725186	uncharacterized LOC119725186
LOC119725187	uncharacterized LOC119725187
LOC119725188	oxysterol-binding protein-related protein 1-like
LOC119725189	tetraspanin-18-like
LOC119725190	MRN complex-interacting protein-like
LOC119725191	calcium-dependent protein kinase 20-like
LOC119725192	coiled-coil domain-containing protein 60-like
LOC119725193	microfibril-associated glycoprotein 4-like
LOC119725194	microfibril-associated glycoprotein 4-like
LOC119725195	microfibril-associated glycoprotein 4-like
LOC119725196	ficolin-2-like
LOC119725197	uncharacterized LOC119725197
LOC119725198	latrophilin-like protein LAT-2
LOC119725199	cathepsin B-like
LOC119725200	histamine H2 receptor-like
LOC119725201	somatostatin receptor type 4-like
LOC119725202	neuromedin-U receptor 2-like
LOC119725203	V-set and immunoglobulin domain-containing protein 1-like
LOC119725204	zinc finger C2HC domain-containing protein 1A-like
LOC119725205	growth hormone secretagogue receptor type 1-like
LOC119725206	putative serine protease 46
LOC119725207	cell surface glycoprotein 1-like
LOC119725208	neuromedin-U receptor 2-like
LOC119725209	uncharacterized LOC119725209
LOC119725210	uncharacterized LOC119725210
LOC119725211	fibroblast growth factor receptor 1-like
LOC119725212	uncharacterized LOC119725212
LOC119725213	uncharacterized LOC119725213
LOC119725214	tyrosine kinase receptor Cad96Ca-like
LOC119725215	uncharacterized LOC119725215
LOC119725216	cathepsin B-like
LOC119725222	tetraspanin-18-like
LOC119725235	E3 ubiquitin-protein ligase TRIM71-like
LOC119725236	E3 ubiquitin-protein ligase TRIM56-like
LOC119725237	E3 ubiquitin-protein ligase TRIM56-like
LOC119725239	E3 ubiquitin-protein ligase TRIM56-like
LOC119725242	tectonin beta-propeller repeat-containing protein 1-like
LOC119725243	E3 ubiquitin-protein ligase TRIM56-like
LOC119725244	uncharacterized LOC119725244
LOC119725245	uncharacterized LOC119725245
LOC119725246	E3 ubiquitin-protein ligase TRIM56-like
LOC119725250	uncharacterized LOC119725250
LOC119725252	ER membrane protein complex subunit 10-like
LOC119725254	MFS-type transporter SLC18B1-like
LOC119725256	uncharacterized LOC119725256
LOC119725257	Werner syndrome ATP-dependent helicase-like
LOC119725258	F-box/WD repeat-containing protein 7-like
LOC119725259	V(D)J recombination-activating protein 1-like
LOC119725260	MFS-type transporter SLC18B1-like
LOC119725261	MFS-type transporter SLC18B1-like
LOC119725262	protein kinase C and casein kinase substrate in neurons protein 2-like
LOC119725263	MFS-type transporter SLC18B1-like
LOC119725264	uncharacterized LOC119725264
LOC119725265	uncharacterized LOC119725265
LOC119725266	monocarboxylate transporter 12-like
LOC119725267	cytochrome P450 2J2-like
LOC119725269	uncharacterized LOC119725269
